No.,Status Sertifikat,Penggunaan,Kategori Luas,Jenis Nadzir,Kelurahan
232,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Pringrejo
233,SUDAH,PENDIDIKAN,KECIL,Perorangan,Pringrejo
234,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Bendan Kergon
235,SUDAH,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
236,SUDAH,MUSHOLLAH,KECIL,Perorangan,Tirto
237,SUDAH,MASJID,KECIL,Perorangan,Podosugih
238,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Medono
239,SUDAH,MASJID,SEDANG,Perorangan,Tirto
240,SUDAH,PENDIDIKAN,KECIL,Perorangan,Sapuro Kebulen
241,SUDAH,PENDIDIKAN,KECIL,Perorangan,Sapuro Kebulen
242,SUDAH,PENDIDIKAN,KECIL,Perorangan,Sapuro Kebulen
243,SUDAH,MUSHOLLAH,KECIL,Perorangan,Podosugih
244,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Pringrejo
245,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Pringrejo
246,SUDAH,SOSIAL & KESEHATAN,SEDANG,Organisasi,Pringrejo
247,SUDAH,PENDIDIKAN,KECIL,Perorangan,Bendan Kergon
248,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Bendan Kergon
249,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Pringrejo
250,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Pringrejo
251,SUDAH,MASJID,SEDANG,Perorangan,Pringrejo
252,SUDAH,MASJID,KECIL,Badan Hukum,Medono
253,SUDAH,MASJID,SEDANG,Badan Hukum,Medono
254,SUDAH,MASJID,KECIL,Badan Hukum,Medono
255,SUDAH,MASJID,KECIL,Badan Hukum,Medono
256,SUDAH,MASJID,SEDANG,Badan Hukum,Medono
257,SUDAH,MASJID,KECIL,Badan Hukum,Medono
258,SUDAH,MASJID,KECIL,Badan Hukum,Medono
259,SUDAH,MASJID,SEDANG,Badan Hukum,Medono
260,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
261,BELUM,MAKAM,BESAR,Perorangan,Pringrejo
262,BELUM,MAKAM,BESAR,Perorangan,Pringrejo
263,BELUM,MUSHOLLAH,KECIL,Perorangan,Pringrejo
264,SUDAH,MUSHOLLAH,KECIL,Badan Hukum,Pringrejo
265,BELUM,SOSIAL & KESEHATAN,SEDANG,Perorangan,Pringrejo
266,SUDAH,PENDIDIKAN,KECIL,Perorangan,Pringrejo
267,BELUM,MUSHOLLAH,SEDANG,Perorangan,Sokoduwet
268,BELUM,MUSHOLLAH,SEDANG,Perorangan,Sokoduwet
269,BELUM,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
270,BELUM,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
271,BELUM,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
272,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
273,BELUM,MUSHOLLAH,SEDANG,Perorangan,Buaran Kradenan
274,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
275,BELUM,MUSHOLLAH,SEDANG,Perorangan,Kuripan Yosorejo
276,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
277,BELUM,MASJID,BESAR,Perorangan,Kuripan Yosorejo
278,BELUM,MUSHOLLAH,SEDANG,Perorangan,Kuripan Yosorejo
279,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
280,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
281,BELUM,MUSHOLLAH,SEDANG,Perorangan,Kuripan Yosorejo
282,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
283,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
284,BELUM,MUSHOLLAH,BESAR,Perorangan,Kuripan Kertoharjo
285,BELUM,MASJID,BESAR,Perorangan,Kuripan Kertoharjo
